epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2194.24,0.61313,0.44044,0.94589,0.30834,0.35294,0.30075,0.20389,1.21616,1.86754,1.17314,0.000420875,0.000420875,0.000420875
69,2224.68,0.639,0.44419,0.90743,0.30834,0.35294,0.30075,0.20389,1.21616,1.86754,1.17314,0.0004085,0.0004085,0.0004085
70,2255.44,0.52733,0.48931,0.84707,0.32737,0.35294,0.3241,0.22985,1.16241,1.78301,1.17198,0.000396125,0.000396125,0.000396125
71,2286.85,0.58567,0.4698,0.84291,0.33127,0.35294,0.34747,0.23076,1.11035,1.75489,1.16269,0.00038375,0.00038375,0.00038375
72,2318.44,0.55178,0.41956,0.85738,0.46134,0.35115,0.36258,0.23301,1.10407,1.80578,1.16694,0.000371375,0.000371375,0.000371375
73,2348.13,0.56195,0.40733,0.86849,0.46134,0.35115,0.36258,0.23301,1.10407,1.80578,1.16694,0.000359,0.000359,0.000359
74,2378,0.55036,0.47967,0.88924,0.4058,0.35294,0.37419,0.24783,1.09772,1.78233,1.16371,0.000346625,0.000346625,0.000346625
75,2407.66,0.63869,0.44177,0.88999,0.40858,0.35294,0.3719,0.23886,1.0553,1.79877,1.15241,0.00033425,0.00033425,0.00033425
76,2437.63,0.66153,0.46159,0.87606,0.38479,0.35294,0.37582,0.24745,1.07541,1.75536,1.17333,0.000321875,0.000321875,0.000321875
77,2467.59,0.47765,0.37334,0.84464,0.38479,0.35294,0.37582,0.24745,1.07541,1.75536,1.17333,0.0003095,0.0003095,0.0003095
78,2497.83,0.58156,0.41418,0.87282,0.35902,0.32353,0.37702,0.22872,1.13844,1.75289,1.20111,0.000297125,0.000297125,0.000297125
79,2527.8,0.51557,0.36283,0.88365,0.38102,0.32353,0.38772,0.2474,1.16495,1.78328,1.21239,0.00028475,0.00028475,0.00028475
80,2558.14,0.59968,0.44056,0.87661,0.32281,0.38235,0.38233,0.25392,1.12816,1.77861,1.19981,0.000272375,0.000272375,0.000272375
81,2588.25,0.47287,0.37591,0.85169,0.32281,0.38235,0.38233,0.25392,1.12816,1.77861,1.19981,0.00026,0.00026,0.00026
82,2618.52,0.47303,0.35119,0.86579,0.30693,0.38235,0.37343,0.26408,1.05472,1.74316,1.17596,0.000247625,0.000247625,0.000247625
83,2650.28,0.53427,0.35973,0.86065,0.30921,0.38235,0.36862,0.26765,1.03931,1.78056,1.16258,0.00023525,0.00023525,0.00023525
84,2680.79,0.5169,0.36964,0.81887,0.3092,0.38136,0.36373,0.26457,1.03596,1.81602,1.15418,0.000222875,0.000222875,0.000222875
85,2712.74,0.50169,0.37795,0.82124,0.3092,0.38136,0.36373,0.26457,1.03596,1.81602,1.15418,0.0002105,0.0002105,0.0002105
86,2743.06,0.52197,0.39393,0.85489,0.32434,0.38025,0.35596,0.2536,1.03283,1.84066,1.15243,0.000198125,0.000198125,0.000198125
87,2772.77,0.47586,0.38727,0.83741,0.30323,0.38235,0.35116,0.25016,1.05809,1.82669,1.16256,0.00018575,0.00018575,0.00018575
88,2802.81,0.49075,0.36552,0.82553,0.30424,0.38235,0.3478,0.24717,1.08953,1.82978,1.16624,0.000173375,0.000173375,0.000173375
89,2832.36,0.50499,0.37785,0.85453,0.30424,0.38235,0.3478,0.24717,1.08953,1.82978,1.16624,0.000161,0.000161,0.000161
90,2862.48,0.49835,0.43097,0.83068,0.30626,0.38235,0.34409,0.24111,1.12128,1.80263,1.1754,0.000148625,0.000148625,0.000148625
91,2892.31,0.55881,0.38385,0.89334,0.30707,0.38235,0.34084,0.23266,1.11783,1.75447,1.17365,0.00013625,0.00013625,0.00013625
92,2922.33,0.41258,0.34224,0.80412,0.3304,0.35294,0.34166,0.23469,1.11543,1.69103,1.17145,0.000123875,0.000123875,0.000123875
93,2952.64,0.44902,0.33629,0.79482,0.3304,0.35294,0.34166,0.23469,1.11543,1.69103,1.17145,0.0001115,0.0001115,0.0001115
94,2982.69,0.43643,0.37019,0.85427,0.33148,0.35294,0.33934,0.23875,1.13236,1.66167,1.1817,9.9125e-05,9.9125e-05,9.9125e-05
95,3012.36,0.47888,0.3205,0.7859,0.33175,0.35294,0.34928,0.24564,1.12556,1.62574,1.18292,8.675e-05,8.675e-05,8.675e-05
96,3041.88,0.42718,0.33505,0.81446,0.3319,0.35294,0.3582,0.2518,1.12798,1.61956,1.18147,7.4375e-05,7.4375e-05,7.4375e-05
97,3071.51,0.39977,0.3143,0.82271,0.3319,0.35294,0.3582,0.2518,1.12798,1.61956,1.18147,6.2e-05,6.2e-05,6.2e-05
98,3101.31,0.41937,0.43514,0.7872,0.3413,0.37966,0.35556,0.25277,1.12935,1.61164,1.18267,4.9625e-05,4.9625e-05,4.9625e-05
99,3131.21,0.44367,0.31904,0.80779,0.34145,0.38015,0.35533,0.25142,1.13042,1.59313,1.1868,3.725e-05,3.725e-05,3.725e-05
100,3162.41,0.36009,0.26956,0.8127,0.3414,0.37998,0.3556,0.25856,1.12869,1.57059,1.18662,2.4875e-05,2.4875e-05,2.4875e-05
